R	88	0	1	1477010478349640	84	24	2	0
L	86	24	1477010479349640	86	24	1	0	
R	89	0	1	1477010479349640	86	24	1	0
L	87	24	1477010480349640	87	23	1	0	
R	91	0	1	1477010480349640	87	23	1	0
L	89	23	1477010481349640	88	23	1	0	
R	91	0	1	1477010481349640	88	23	1	0
L	89	22	1477010482349640	90	23	1	0	
R	93	0	1	1477010482349640	90	23	1	0
L	91	22	1477010483349640	91	22	1	0	
R	93	0	1	1477010483349640	91	22	1	0
L	92	21	1477010484349640	92	22	1	0	
R	95	0	1	1477010484349640	92	22	1	0
L	93	21	1477010485349640	93	21	1	0	
R	96	0	1	1477010485349640	93	21	1	0
L	93	20	1477010486349640	94	21	1	0	
R	96	0	1	1477010486349640	94	21	1	0
L	95	20	1477010487349640	95	20	1	0	
R	97	0	1	1477010487349640	95	20	1	0
L	96	20	1477010488349640	96	20	1	0	
R	98	0	1	1477010488349640	96	20	1	0
L	96	19	1477010489349640	97	19	1	-1	
R	98	0	1	1477010489349640	97	19	1	-1
L	98	19	1477010490349640	97	19	1	-1	
R	99	0	1	1477010490349640	97	19	1	-1
L	98	18	1477010491349640	98	18	1	-1	
R	100	0	1	1477010491349640	98	18	1	-1
L	99	17	1477010492349640	99	18	1	-1	
R	100	0	1	1477010492349640	99	18	1	-1
L	100	17	1477010493349640	100	17	1	-1	
R	102	0	1	1477010493349640	100	17	1	-1
L	101	17	1477010494349640	101	16	1	-1	
R	102	0	1	1477010494349640	101	16	1	-1
L	102	16	1477010495349640	102	16	1	-1	
R	103	0	1	1477010495349640	102	16	1	-1
L	103	15	1477010496349640	103	15	1	-1	
R	104	0	1	1477010496349640	103	15	1	-1
L	104	15	1477010497349640	104	15	1	0	
R	105	0	1	1477010497349640	104	15	1	0
L	106	14	1477010498349640	105	15	1	0	
R	106	0	1	1477010498349640	105	15	1	0
L	107	14	1477010499349640	107	14	1	0	
R	107	0	1	1477010499349640	107	14	1	0
L	108	14	1477010500349640	108	14	1	0	
R	109	0	1	1477010500349640	108	14	1	0
L	110	14	1477010501349640	110	13	2	0	
R	110	0	1	1477010501349640	110	13	2	0
L	111	13	1477010502349640	111	13	2	0	
R	112	0	2	1477010502349640	111	13	2	0
L	113	12	1477010503349640	113	13	2	0	
R	114	0	2	1477010503349640	113	13	2	0
L	115	13	1477010504349640	115	12	2	0	
R	116	0	2	1477010504349640	115	12	2	0
L	117	12	1477010505349640	117	12	2	0	
R	117	0	2	1477010505349640	117	12	2	0
L	119	12	1477010506349640	119	12	2	0	
R	119	0	2	1477010506349640	119	12	2	0
L	121	12	1477010507349640	121	12	2	0	
R	122	0	2	1477010507349640	121	12	2	0
L	124	13	1477010508349640	123	13	2	0	
R	124	0	2	1477010508349640	123	13	2	0
L	125	13	1477010509349640	125	13	2	0	
R	126	0	3	1477010509349640	125	13	2	0
L	128	13	1477010510349640	128	13	2	0	
R	128	0	3	1477010510349640	128	13	2	0
L	130	14	1477010511349640	130	14	3	1	
R	131	0	2	1477010511349640	130	14	3	1
L	132	15	1477010512349640	133	14	3	1	
R	133	0	3	1477010512349640	133	14	3	1
L	135	15	1477010513349640	135	15	3	1	
R	136	0	3	1477010513349640	135	15	3	1
L	138	16	1477010514349640	138	16	3	1	
R	139	0	3	1477010514349640	138	16	3	1
L	140	17	1477010515349640	140	17	3	1	
R	141	0	3	1477010515349640	140	17	3	1
L	143	18	1477010516349640	143	18	3	1	
R	144	0	3	1477010516349640	143	18	3	1
L	145	19	1477010517349640	146	19	3	1	
R	147	0	3	1477010517349640	146	19	3	1
L	148	20	1477010518349640	148	21	3	1	
R	150	0	3	1477010518349640	148	21	3	1
L	151	22	1477010519349640	151	22	3	1	
R	152	0	3	1477010519349640	151	22	3	1
L	153	23	1477010520349640	153	23	3	1	
R	155	0	3	1477010520349640	153	23	3	1
L	156	25	1477010521349640	156	25	3	1	
R	158	0	3	1477010521349640	156	25	3	1
L	159	26	1477010522349640	159	26	3	1	
R	161	0	3	1477010522349640	159	26	3	1
L	161	27	1477010523349640	161	27	3	1	
R	164	0	3	1477010523349640	161	27	3	1
L	164	29	1477010524349640	164	29	3	1	
R	167	0	3	1477010524349640	164	29	3	1
L	167	30	1477010525349640	167	30	3	1	
R	169	0	3	1477010525349640	167	30	3	1
L	169	31	1477010526349640	169	31	3	1	
R	172	0	3	1477010526349640	169	31	3	1
L	172	32	1477010527349640	172	32	3	1	
R	175	0	3	1477010527349640	172	32	3	1
L	175	33	1477010528349640	175	33	3	1	
R	178	0	3	1477010528349640	175	33	3	1
L	177	34	1477010529349640	177	34	3	1	
R	180	0	3	1477010529349640	177	34	3	1
L	180	35	1477010530349640	180	35	2	1	
R	183	0	2	1477010530349640	180	35	2	1
L	183	36	1477010531349640	182	36	2	1	
R	186	0	2	1477010531349640	182	36	2	1
L	185	37	1477010532349640	185	36	2	0	
R	188	0	2	1477010532349640	185	36	2	0
L	187	37	1477010533349640	187	37	2	0	
R	191	0	2	1477010533349640	187	37	2	0
L	189	37	1477010534349640	189	37	2	0	
R	193	0	2	1477010534349640	189	37	2	0
L	192	38	1477010535349640	192	37	2	0	
R	195	0	2	1477010535349640	192	37	2	0
L	193	37	1477010536349640	194	37	2	0	
R	197	0	2	1477010536349640	194	37	2	0
L	196	37	1477010537349640	196	37	2	0	
R	199	0	2	1477010537349640	196	37	2	0
L	198	38	1477010538349640	198	37	2	0	
R	201	0	2	1477010538349640	198	37	2	0
L	199	37	1477010539349640	199	37	2	0	
R	203	0	2	1477010539349640	199	37	2	0
L	202	37	1477010540349640	201	37	2	0	
R	204	0	1	1477010540349640	201	37	2	0
L	203	36	1477010541349640	203	36	2	0	
R	206	0	1	1477010541349640	203	36	2	0
L	204	36	1477010542349640	204	36	1	0	
R	207	0	1	1477010542349640	204	36	1	0
